,descriptif
402,Anglais
403,Anglais
404,Français
405,Français
406,Français
407,Français
408,Français
409,Anglais
410,Français
411,Français
412,Français
413,Français
414,Français
415,Français
416,Anglais
417,Français
418,Français
419,Français
420,Français
421,Français
422,Français
423,Français
424,Français
425,Français
426,Français
427,Français
428,Français
429,Français
430,Français
431,Français
432,Italien
433,Français
434,Français
435,Français
436,Français
437,Français
438,Français
439,Anglais
440,Français
441,Français
442,Anglais
443,Français
444,Français
445,Français
446,Français
447,Français
448,Français
449,Anglais
450,Français
451,Français
452,Français
453,Français
454,Français
455,Allemand
456,Français
457,Français
458,Anglais
459,Français
460,Allemand
461,Français
462,Français
463,Français
464,Français
465,Français
466,Français
467,Français
468,Français
469,Français
470,Français
471,Français
472,Français
473,Français
474,Allemand
475,Français
476,Anglais
477,Français
478,Français
479,Français
480,Français
481,Allemand
482,Indonésien
483,Français
484,Anglais
485,Français
486,Allemand
487,Français
488,Français
489,Français
490,Néerlandais
491,Français
492,Français
493,Français
494,Français
495,Anglais
496,Français
497,Français
498,Français
499,Français
500,Français
501,Français
502,Français
503,Français
504,Français
505,Français
506,Français
507,Français
508,Français
509,Français
510,Français
511,Français
512,Français
513,Allemand
514,Anglais
515,Français
516,Anglais
517,Anglais
518,Anglais
519,Français
520,Français
521,Français
522,Français
523,Français
524,Français
525,Français
526,Français
527,Français
528,Français
529,Français
530,Français
531,Français
532,Français
533,Français
534,Français
535,Français
536,Français
537,Français
538,Français
539,Français
540,Anglais
541,Français
542,Français
543,Anglais
544,Français
545,Français
546,Anglais
547,Français
548,Français
549,Néerlandais
550,Français
551,Français
552,Français
553,Français
554,Français
555,Français
556,Anglais
557,Français
558,Français
559,Français
560,Français
561,Français
562,Français
563,Français
564,Français
565,Français
566,Français
567,Français
568,Français
569,Français
570,Français
571,Néerlandais
572,Français
573,Français
574,Français
575,Anglais
576,Français
577,Français
578,Anglais
579,Français
580,Anglais
581,Français
582,Français
583,Français
584,Français
585,Allemand
586,Anglais
587,Français
588,Anglais
589,Français
590,Français
591,Allemand
592,Français
593,Français
594,Anglais
595,Français
596,Français
597,Français
598,Français
599,Français
600,Français
601,Anglais
602,Allemand
603,Français
604,Français
605,Français
606,Allemand
607,Français
608,Français
609,Anglais
610,Français
611,Français
612,Anglais
613,Anglais
614,Français
615,Néerlandais
616,Français
617,Français
618,Français
619,Français
620,Italien
621,Français
622,Anglais
623,Français
624,Italien
625,Portugais
626,Français
627,Français
628,Français
629,Français
630,Français
631,Français
632,Français
633,Français
634,Anglais
635,Français
636,Français
637,Français
638,Français
639,Espagnol
640,Français
641,Français
642,Français
643,Français
644,Allemand
645,Français
646,Français
647,Français
648,Français
649,Anglais
650,Français
651,Français
652,Français
653,Français
654,Français
655,Français
656,Français
657,Français
658,Français
659,Français
660,Français
661,Français
662,Français
663,Français
664,Français
665,Français
666,Anglais
667,Anglais
668,Français
669,Indonésien
670,Français
671,Anglais
672,Français
673,Français
674,Français
675,Allemand
676,Allemand
677,Français
678,Anglais
679,Français
680,Français
681,Anglais
682,Français
683,Catalan
684,Anglais
685,Afrikaans
686,Anglais
687,Français
688,Français
689,Français
690,Français
691,Français
692,Français
693,Français
694,Français
695,Français
696,Français
697,Anglais
698,Français
699,Français
700,Français
701,Français
702,Français
703,Anglais
704,Français
705,Français
706,Catalan
707,Néerlandais
708,Français
709,Français
710,Indonésien
711,Français
712,Français
713,Français
714,Français
715,Français
716,Français
717,Français
718,Français
719,Français
720,Français
721,Anglais
722,Français
723,Français
724,Roumain
725,Français
726,Français
727,Français
728,Français
729,Français
730,Français
731,Allemand
732,Français
733,Anglais
734,Français
735,Français
736,Français
737,Français
738,Néerlandais
739,Français
740,Français
741,Français
742,Français
743,Français
744,Allemand
745,Français
746,Français
747,Français
748,Français
749,Français
750,Anglais
751,Français
752,Français
753,Anglais
754,Français
755,Anglais
756,Anglais
757,Français
758,Français
759,Français
760,Allemand
761,Français
762,Français
763,Français
764,Français
765,Anglais
766,Anglais
767,Français
768,Français
769,Français
770,Français
771,Français
772,Français
773,Français
774,Français
775,Français
776,Anglais
777,Français
778,Français
779,Français
780,Anglais
781,Français
782,Français
783,Anglais
784,Français
785,Français
786,Anglais
787,Français
788,Français
789,Français
790,Français
791,Allemand
792,Anglais
793,Roumain
794,Français
795,Français
796,Français
797,Français
798,Français
799,Français
800,Français
801,Roumain
802,Français
803,Français
804,Français
805,Français
806,Français
807,Allemand
808,Français
809,Norvégien
810,Anglais
811,Français
812,Français
813,Français
814,Anglais
815,Français
816,Anglais
817,Français
818,Français
819,Allemand
820,Français
821,Anglais
822,Français
823,Français
824,Français
825,Français
826,Français
827,Anglais
828,Anglais
829,Allemand
830,Français
831,Français
832,Français
833,Français
834,Anglais
835,Français
836,Français
837,Français
838,Français
839,Français
840,Français
841,Français
842,Français
843,Français
844,Allemand
845,Anglais
846,Français
847,Français
848,Français
849,Français
850,Français
851,Français
852,Français
853,Allemand
854,Français
855,Français
856,Français
857,Français
858,Anglais
859,Anglais
860,Français
861,Français
862,Anglais
863,Français
864,Français
865,Allemand
866,Allemand
867,Français
868,Anglais
869,Français
870,Français
871,Français
872,Français
873,Français
874,Français
875,Français
876,Français
877,Allemand
878,Français
879,Français
880,Français
881,Français
882,Français
883,Français
884,Français
885,Français
886,Français
887,Français
888,Français
889,Anglais
890,Français
891,Français
892,Anglais
893,Allemand
894,Français
895,Anglais
896,Français
897,Français
898,Français
899,Anglais
900,Anglais
901,Anglais
902,Catalan
903,Français
904,Anglais
905,Français
906,Estonien
907,Français
908,Français
909,Anglais
910,Catalan
911,Français
912,Français
913,Anglais
914,Français
915,Français
916,Anglais
917,Français
918,Français
919,Français
920,Français
921,Français
922,Français
923,Anglais
924,Anglais
925,Français
926,Français
927,Français
928,Français
929,Français
930,Anglais
931,Français
932,Français
933,Français
934,Roumain
935,Français
936,Anglais
937,Français
938,Français
939,Français
940,Français
941,Français
942,Français
943,Français
944,Français
945,Français
946,Français
947,Français
948,Français
949,Italien
950,Français
951,Français
952,Français
953,Français
954,Français
955,Français
956,Anglais
957,Néerlandais
958,Français
959,Français
960,Allemand
961,Français
962,Français
963,Français
964,Français
965,Anglais
966,Français
967,Français
968,Français
969,Français
970,Néerlandais
971,Français
972,Français
973,Français
974,Anglais
975,Français
976,Français
977,Français
978,Français
979,Français
980,Français
981,Anglais
982,Français
983,Français
984,Français
985,Français
986,Anglais
987,Français
988,Français
989,Français
990,Français
991,Français
992,Français
993,Français
994,Français
995,Français
996,Français
997,Français
998,Français
999,Anglais
1000,Français
1001,Français
1002,Français
1003,Français
1004,Français
1005,Français
1006,Français
1007,Français
1008,Français
1009,Français
1010,Français
1011,Anglais
1012,Anglais
1013,Français
1014,Français
1015,Français
1016,Français
1017,Espagnol
1018,Français
1019,Allemand
1020,Français
1021,Français
1022,Français
1023,Français
1024,Français
1025,Français
1026,Français
1027,Français
1028,Français
1029,Français
1030,Français
1031,Anglais
1032,Anglais
1033,Anglais
1034,Anglais
1035,Anglais
1036,Anglais
1037,Français
1038,Français
1039,Anglais
1040,Français
1041,Français
1042,Français
1043,Français
1044,Français
1045,Français
1046,Français
1047,Français
1048,Français
1049,Français
1050,Français
1051,Catalan
1052,Français
1053,Anglais
1054,Français
1055,Français
1056,Français
1057,Français
1058,Français
1059,Anglais
1060,Français
1061,Anglais
1062,Français
1063,Français
1064,Anglais
1065,Anglais
1066,Français
1067,Français
1068,Anglais
1069,Français
1070,Français
1071,Français
1072,Français
1073,Français
1074,Français
1075,Français
1076,Anglais
1077,Français
1078,Anglais
1079,Français
1080,Français
1081,Anglais
1082,Anglais
1083,Anglais
1084,Français
1085,Français
1086,Français
1087,Français
1088,Anglais
1089,Anglais
1090,Français
1091,Allemand
1092,Français
1093,Français
1094,Anglais
1095,Français
1096,Français
1097,Anglais
1098,Français
1099,Français
1100,Français
1101,Allemand
1102,Français
1103,Français
1104,Catalan
1105,Français
1106,Français
1107,Français
1108,Français
1109,Français
1110,Français
1111,Français
1112,Allemand
1113,Français
1114,Français
1115,Français
1116,Français
1117,Français
1118,Français
1119,Anglais
1120,Français
1121,Français
1122,Français
1123,Français
1124,Français
1125,Français
1126,Français
1127,Français
1128,Français
1129,Français
1130,Français
1131,Anglais
1132,Anglais
1133,Français
1134,Français
1135,Français
1136,Français
1137,Français
1138,Français
1139,Anglais
1140,Français
1141,Allemand
1142,Français
1143,Anglais
1144,Français
1145,Français
1146,Français
1147,Français
1148,Français
1149,Français
1150,Allemand
1151,Français
1152,Anglais
1153,Français
1154,Français
1155,Français
1156,Français
1157,Français
1158,Français
1159,Français
1160,Français
1161,Français
1162,Français
1163,Français
1164,Néerlandais
1165,Français
1166,Français
1167,Français
1168,Français
1169,Anglais
1170,Français
1171,Français
1172,Roumain
1173,Catalan
1174,Français
1175,Français
1176,Allemand
1177,Français
1178,Français
1179,Français
1180,Français
1181,Français
1182,Français
1183,Allemand
1184,Français
1185,Français
1186,Français
1187,Français
1188,Français
1189,Français
1190,Français
1191,Italien
1192,Français
1193,Français
1194,Français
1195,Français
1196,Français
1197,Catalan
1198,Français
1199,Français
1200,Français
1201,Français
1202,Néerlandais
1203,Anglais
1204,Anglais
1205,Anglais
1206,Français
1207,Français
1208,Anglais
1209,Français
1210,Français
1211,Français
1212,Français
1213,Anglais
1214,Tagalog
1215,Français
1216,Français
1217,Français
1218,Anglais
1219,Français
1220,Français
1221,Français
1222,Anglais
1223,Français
1224,Français
1225,Français
1226,Français
1227,Français
1228,Italien
1229,Français
1230,Allemand
1231,Français
1232,Français
1233,Français
1234,Français
1235,Français
1236,Français
1237,Anglais
1238,Français
1239,Français
1240,Anglais
1241,Anglais
1242,Français
1243,Français
1244,Français
1245,Français
1246,Français
1247,Français
1248,Français
1249,Français
1250,Français
1251,Français
1252,Français
1253,Français
1254,Français
1255,Anglais
1256,Français
1257,Français
1258,Français
1259,Français
1260,Français
1261,Anglais
1262,Français
1263,Français
1264,Français
1265,Anglais
1266,Anglais
1267,Français
1268,Anglais
1269,Français
1270,Français
1271,Anglais
1272,Français
1273,Français
1274,Français
1275,Français
1276,Anglais
1277,Français
1278,Français
1279,Français
1280,Anglais
1281,Français
1282,Français
1283,Français
1284,Français
1285,Français
1286,Anglais
1287,Français
1288,Français
1289,Français
1290,Français
1291,Français
1292,Français
1293,Français
1294,Français
1295,Français
1296,Anglais
1297,Français
1298,Français
1299,Anglais
1300,Français
1301,Anglais
1302,Anglais
1303,Français
1304,Français
1305,Français
1306,Français
1307,Français
1308,Français
1309,Français
1310,Français
1311,Français
1312,Français
1313,Allemand
1314,Espagnol
1315,Français
1316,Français
1317,Néerlandais
1318,Français
1319,Français
1320,Français
1321,Français
1322,Français
1323,Français
1324,Anglais
1325,Français
1326,Français
1327,Français
1328,Français
1329,Français
1330,Anglais
1331,Allemand
1332,Français
1333,Français
1334,Français
1335,Français
1336,Français
1337,Français
1338,Français
1339,Français
1340,Estonien
1341,Français
1342,Français
1343,Anglais
1344,Français
1345,Anglais
1346,Anglais
1347,Français
1348,Français
1349,Français
1350,Allemand
1351,Français
1352,Français
1353,Français
1354,Anglais
1355,Français
1356,Français
1357,Français
1358,Français
1359,Français
1360,Français
1361,Anglais
1362,Anglais
1363,Catalan
1364,Français
1365,Français
1366,Français
1367,Français
1368,Français
1369,Français
1370,Anglais
1371,Français
1372,Français
1373,Français
1374,Français
1375,Anglais
1376,Allemand
1377,Français
1378,Français
1379,Français
1380,Anglais
1381,Français
1382,Français
1383,Français
1384,Français
1385,Français
1386,Allemand
1387,Français
1388,Français
1389,Anglais
1390,Français
1391,Anglais
1392,Français
1393,Français
1394,Français
1395,Français
1396,Français
1397,Allemand
1398,Français
1399,Français
1400,Français
1401,Français
1402,Français
1403,Français
1404,Français
1405,Français
1406,Français
1407,Anglais
1408,Français
1409,Français
1410,Français
1411,Anglais
1412,Français
1413,Anglais
1414,Français
1415,Français
1416,Français
1417,Français
1418,Roumain
1419,Français
1420,Français
1421,Français
1422,Français
1423,Français
1424,Français
1425,Anglais
1426,Français
1427,Français
1428,Français
1429,Français
1430,Français
1431,Français
1432,Français
1433,Français
1434,Français
1435,Français
1436,Français
1437,Anglais
1438,Espagnol
1439,Espagnol
1440,Portugais
1441,Français
1442,Français
1443,Anglais
1444,Allemand
1445,Français
1446,Français
1447,Néerlandais
1448,Français
1449,Français
1450,Anglais
1451,Français
1452,Français
1453,Français
1454,Français
1455,Français
1456,Français
1457,Français
1458,Français
1459,Anglais
1460,Français
1461,Allemand
1462,Anglais
1463,Français
1464,Anglais
1465,Français
1466,Anglais
1467,Français
1468,Français
1469,Français
1470,Français
1471,Français
1472,Finnois
1473,Français
1474,Français
1475,Français
1476,Français
1477,Français
1478,Français
1479,Anglais
1480,Français
1481,Anglais
1482,Français
1483,Français
1484,Français
1485,Français
1486,Français
1487,Français
1488,Français
1489,Allemand
1490,Anglais
1491,Français
1492,Allemand
1493,Français
1494,Anglais
1495,Français
1496,Allemand
1497,Français
1498,Français
1499,Anglais
1500,Français
1501,Allemand
1502,Italien
1503,Français
1504,Allemand
1505,Français
1506,Français
1507,Français
1508,Français
1509,Français
1510,Français
1511,Français
1512,Néerlandais
1513,Français
1514,Français
1515,Français
1516,Anglais
1517,Français
1518,Français
1519,Français
1520,Anglais
1521,Anglais
1522,Français
1523,Français
1524,Français
1525,Français
1526,Français
1527,Français
1528,Français
1529,Français
1530,Français
1531,Anglais
1532,Français
1533,Français
1534,Français
1535,Français
1536,Anglais
1537,Français
1538,Français
1539,Français
1540,Français
1541,Français
1542,Anglais
1543,Français
1544,Français
1545,Français
1546,Français
1547,Anglais
1548,Français
1549,Français
1550,Français
1551,Français
1552,Français
1553,Français
1554,Français
1555,Anglais
1556,Français
1557,Anglais
1558,Français
1559,Français
1560,Français
1561,Français
1562,Français
1563,Français
1564,Français
1565,Français
1566,Anglais
1567,Français
1568,Français
1569,Catalan
1570,Français
1571,Danois
1572,Anglais
1573,Français
1574,Anglais
1575,Français
1576,Français
1577,Français
1578,Français
1579,Français
1580,Français
1581,Français
1582,Français
1583,Français
1584,Anglais
1585,Français
1586,Français
1587,Portugais
1588,Français
1589,Français
1590,Français
1591,Anglais
1592,Allemand
1593,Français
1594,Français
1595,Français
1596,Français
1597,Français
1598,Français
1599,Français
1600,Français
1601,Français
1602,Français
1603,Français
1604,Français
1605,Français
1606,Français
1607,Norvégien
1608,Français
1609,Français
1610,Français
1611,Français
1612,Français
1613,Français
1614,Français
1615,Français
1616,Français
1617,Français
1618,Français
1619,Français
1620,Français
1621,Anglais
1622,Français
1623,Français
1624,Français
1625,Français
1626,Français
1627,Français
1628,Français
1629,Français
1630,Français
1631,Français
1632,Français
1633,Français
1634,Français
1635,Français
1636,Français
1637,Français
1638,Français
1639,Anglais
1640,Français
1641,Néerlandais
1642,Français
1643,Français
1644,Français
1645,Français
1646,Français
1647,Français
1648,Français
1649,Français
1650,Roumain
1651,Français
1652,Français
1653,Français
1654,Français
1655,Français
1656,Français
1657,Français
1658,Français
1659,Français
1660,Français
1661,Français
1662,Français
1663,Français
1664,Français
1665,Français
1666,Anglais
1667,Français
1668,Anglais
1669,Français
1670,Français
1671,Français
1672,Français
1673,Français
1674,Français
1675,Français
1676,Français
1677,Français
1678,Français
1679,Anglais
1680,Français
1681,Français
1682,Anglais
1683,Français
1684,Français
1685,Français
1686,Français
1687,Français
1688,Français
1689,Français
1690,Français
1691,Français
1692,Français
1693,Français
1694,Français
1695,Français
1696,Français
1697,Anglais
1698,Français
1699,Français
1700,Catalan
1701,Français
1702,Français
1703,Français
1704,Catalan
1705,Français
1706,Anglais
1707,Catalan
1708,Français
1709,Français
1710,Français
1711,Français
1712,Français
1713,Français
1714,Français
1715,Français
1716,Français
1717,Français
1718,Néerlandais
1719,Français
1720,Français
1721,Français
1722,Français
1723,Français
1724,Français
1725,Français
1726,Français
1727,Anglais
1728,Français
1729,Français
1730,Italien
1731,Français
1732,Français
1733,Français
1734,Français
1735,Français
1736,Anglais
1737,Français
1738,Allemand
1739,Français
1740,Français
1741,Français
1742,Français
1743,Français
1744,Français
1745,Français
1746,Français
1747,Français
1748,Français
1749,Français
1750,Français
1751,Anglais
1752,Français
1753,Français
1754,Anglais
1755,Français
1756,Français
1757,Français
1758,Anglais
1759,Français
1760,Français
1761,Français
1762,Français
1763,Anglais
1764,Français
1765,Français
1766,Anglais
1767,Français
1768,Anglais
1769,Français
1770,Français
1771,Français
1772,Français
1773,Catalan
1774,Français
1775,Français
1776,Français
1777,Anglais
1778,Français
1779,Français
1780,Français
1781,Français
1782,Français
1783,Français
1784,Français
1785,Français
1786,Français
1787,Français
1788,Français
1789,Français
1790,Français
1791,Français
1792,Français
1793,Néerlandais
1794,Anglais
1795,Français
1796,Français
1797,Français
1798,Français
1799,Français
1800,Français
1801,Français
1802,Français
1803,Français
1804,Français
1805,Français
1806,Français
1807,Français
1808,Anglais
1809,Français
1810,Français
1811,Anglais
1812,Français
1813,Danois
1814,Français
1815,Anglais
1816,Français
1817,Français
1818,Anglais
1819,Français
1820,Catalan
1821,Français
1822,Anglais
1823,Français
1824,Français
1825,Français
1826,Français
1827,Indonésien
1828,Français
1829,Catalan
1830,Anglais
1831,Français
1832,Français
1833,Espagnol
1834,Français
1835,Français
1836,Français
1837,Anglais
1838,Français
1839,Français
1840,Français
1841,Portugais
1842,Français
1843,Français
1844,Anglais
1845,Italien
1846,Français
1847,Allemand
1848,Anglais
1849,Français
1850,Français
1851,Français
1852,Français
1853,Français
1854,Anglais
1855,Français
1856,Catalan
1857,Français
1858,Allemand
1859,Français
1860,Français
1861,Français
1862,Catalan
1863,Italien
1864,Français
1865,Français
1866,Français
1867,Français
1868,Catalan
1869,Anglais
1870,Français
1871,Français
1872,Français
1873,Français
1874,Français
1875,Anglais
1876,Anglais
1877,Français
1878,Français
1879,Français
1880,Anglais
1881,Français
1882,Français
1883,Français
1884,Français
1885,Français
1886,Français
1887,Français
1888,Français
1889,Français
1890,Français
1891,Français
1892,Français
1893,Français
1894,Français
1895,Français
1896,Français
1897,Français
1898,Français
1899,Français
1900,Français
1901,Français
1902,Anglais
1903,Français
1904,Anglais
1905,Français
1906,Français
1907,Français
1908,Anglais
1909,Français
1910,Français
1911,Français
1912,Français
1913,Français
1914,Français
1915,Français
1916,Anglais
1917,Anglais
1918,Français
1919,Français
1920,Français
1921,Français
1922,Français
1923,Français
1924,Anglais
1925,Catalan
1926,Anglais
1927,Français
1928,Anglais
1929,Anglais
1930,Français
1931,Français
1932,Français
1933,Français
1934,Français
1935,Français
1936,Français
1937,Anglais
1938,Français
1939,Français
1940,Français
1941,Français
1942,Français
1943,Italien
1944,Français
1945,Français
1946,Français
1947,Anglais
1948,Néerlandais
1949,Français
1950,Français
1951,Français
1952,Français
1953,Français
1954,Français
1955,Français
1956,Français
1957,Anglais
1958,Allemand
1959,Français
1960,Français
1961,Français
1962,Français
1963,Néerlandais
1964,Français
1965,Français
1966,Français
1967,Français
1968,Anglais
1969,Français
1970,Français
1971,Anglais
1972,Anglais
1973,Indonésien
1974,Français
1975,Français
1976,Français
1977,Anglais
1978,Français
1979,Anglais
1980,Français
1981,Français
1982,Français
1983,Anglais
1984,Français
1985,Français
1986,Français
1987,Français
1988,Français
1989,Roumain
1990,Français
1991,Français
1992,Français
1993,Français
1994,Français
1995,Français
1996,Français
1997,Français
1998,Français
1999,Français
2000,Français
2001,Français
2002,Français
2003,Français
2004,Français
2005,Français
2006,Anglais
2007,Français
2008,Français
2009,Français
2010,Néerlandais
2011,Français
2012,Français
2013,Allemand
2014,Français
2015,Français
2016,Français
2017,Allemand
2018,Français
2019,Français
2020,Français
2021,Anglais
2022,Français
2023,Français
2024,Français
2025,Anglais
2026,Français
2027,Français
2028,Français
2029,Français
2030,Français
2031,Français
2032,Français
2033,Français
2034,Néerlandais
2035,Français
2036,Français
2037,Français
2038,Français
2039,Portugais
2040,Français
2041,Anglais
2042,Français
2043,Français
2044,Français
2045,Français
2046,Français
2047,Anglais
2048,Français
2049,Français
2050,Français
2051,Français
2052,Anglais
2053,Français
2054,Français
2055,Français
2056,Français
2057,Français
2058,Anglais
2059,Français
2060,Allemand
2061,Français
2062,Français
2063,Français
2064,Français
2065,Français
2066,Allemand
2067,Français
2068,Français
2069,Français
2070,Français
2071,Français
2072,Français
2073,Français
2074,Français
2075,Français
2076,Roumain
2077,Français
2078,Français
2079,Français
2080,Français
2081,Français
2082,Catalan
2083,Néerlandais
2084,Français
2085,Anglais
2086,Français
2087,Anglais
2088,Français
2089,Français
2090,Français
2091,Français
2092,Français
2093,Français
2094,Français
2095,Allemand
2096,Français
2097,Français
2098,Français
2099,Français
2100,Français
2101,Anglais
2102,Allemand
2103,Français
2104,Français
2105,Français
2106,Français
2107,Français
2108,Français
2109,Anglais
2110,Français
2111,Néerlandais
2112,Allemand
2113,Français
2114,Français
2115,Français
2116,Français
2117,Français
2118,Français
2119,Anglais
2120,Français
2121,Français
2122,Français
2123,Français
2124,Français
2125,Français
2126,Français
2127,Français
2128,Anglais
2129,Italien
2130,Français
2131,Anglais
2132,Catalan
2133,Français
2134,Français
2135,Allemand
2136,Français
2137,Français
2138,Français
2139,Français
2140,Catalan
2141,Français
2142,Anglais
2143,Anglais
2144,Français
2145,Allemand
2146,Français
2147,Français
2148,Français
2149,Néerlandais
2150,Français
2151,Français
2152,Français
2153,Français
2154,Français
2155,Anglais
2156,Français
2157,Français
2158,Afrikaans
2159,Anglais
2160,Français
2161,Français
2162,Anglais
2163,Français
2164,Français
2165,Anglais
2166,Français
2167,Français
2168,Français
2169,Français
2170,Français
2171,Catalan
2172,Anglais
2173,Français
2174,Français
2175,Indonésien
2176,Français
2177,Catalan
2178,Français
2179,Français
2180,Français
2181,Français
2182,Néerlandais
2183,Français
2184,Français
2185,Français
2186,Français
2187,Français
2188,Allemand
2189,Français
2190,Anglais
2191,Français
2192,Français
2193,Néerlandais
2194,Français
2195,Français
2196,Français
2197,Français
2198,Français
2199,Français
2200,Anglais
2201,Français
2202,Français
2203,Italien
2204,Français
2205,Allemand
2206,Français
2207,Anglais
2208,Anglais
2209,Français
2210,Français
2211,Français
2212,Français
2213,Français
2214,Français
2215,Français
2216,Français
2217,Français
2218,Français
2219,Français
2220,Français
2221,Anglais
2222,Français
2223,Espagnol
2224,Anglais
2225,Anglais
2226,Français
2227,Allemand
2228,Français
2229,Français
2230,Français
2231,Français
2232,Anglais
2233,Français
2234,Français
2235,Français
2236,Français
2237,Français
2238,Français
2239,Français
2240,Anglais
2241,Français
2242,Anglais
2243,Français
2244,Français
2245,Français
2246,Anglais
2247,Français
2248,Français
2249,Français
2250,Français
2251,Français
2252,Français
2253,Français
2254,Français
2255,Catalan
2256,Français
2257,Français
2258,Français
2259,Français
2260,Français
2261,Allemand
2262,Français
2263,Français
2264,Français
2265,Français
2266,Français
2267,Français
2268,Français
2269,Français
2270,Français
2271,Néerlandais
2272,Français
2273,Français
2274,Français
2275,Anglais
2276,Français
2277,Anglais
2278,Français
2279,Français
2280,Français
2281,Français
2282,Français
2283,Français
2284,Français
2285,Anglais
2286,Anglais
2287,Allemand
2288,Français
2289,Anglais
2290,Tagalog
2291,Français
2292,Français
2293,Français
2294,Anglais
2295,Anglais
2296,Français
2297,Français
2298,Allemand
2299,Français
2300,Français
2301,Anglais
2302,Français
2303,Anglais
